"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify all 12 Software Templates appear in the Create page",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Register an existing component",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the Pull/Merge Requests tab renders the 5 most recently updated Open Pull Requests",""
"skipped","Tue Mar 12 00:41:10 GMT 2024","Tue Mar 12 00:41:10 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as a guest user","","","Check if Administration side nav is present with no RBAC tab",""
"broken","Tue Mar 12 00:41:30 GMT 2024","Tue Mar 12 00:41:52 GMT 2024","21599","chromium","e2e/plugins/quay/quay.spec.ts","Test Quay.io plugin","","","Check if Image Registry is present",""
"failed","Tue Mar 12 00:40:40 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","2403","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify Profile is Github Account Name in the Settings page",""
"skipped","Tue Mar 12 00:40:28 GMT 2024","Tue Mar 12 00:40:28 GMT 2024","1","chromium","e2e/google-signin-happy-path.spec.ts","Google signin happy path","","","Verify Google Sign in",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the following components were ingested into the Catalog",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Sign out and verify that you return back to the Sign in page",""
"passed","Tue Mar 12 00:40:29 GMT 2024","Tue Mar 12 00:40:41 GMT 2024","11190","chromium","e2e/guest-signin-happy-path.spec.ts","Guest Signing Happy path","","","Verify Profile is Guest in the Settings page",""
